"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000102362",261.471224687896,0.625101601349444,0.0696084065836855,8.98026017299975,2.70127239807964e-19,7.14392318859573e-17,"SYTL4"
"ENSG00000103089",76.9868419946416,1.19958396951259,0.133639309689613,8.97628079865655,2.8007400106143e-19,7.32184262085191e-17,"FA2H"
"ENSG00000081138",59.8646186989928,-1.31727395292694,0.147317432759229,-8.9417384504647,3.83095424470993e-19,9.90127537973667e-17,"CDH7"
"ENSG00000081377",673.472221664147,0.624693046681635,0.0700877642362573,8.9130114719578,4.96648417300575e-19,1.26918782057127e-16,"CDC14B"
"ENSG00000140465",1632.06881790287,1.95045421843346,0.219257188905571,8.89573668334074,5.80330327886919e-19,1.46655921971779e-16,"CYP1A1"
"ENSG00000130595",195.918365125812,1.27035684972214,0.142946393607708,8.88694578198605,6.28116410549904e-19,1.56987688368649e-16,"TNNT3"
"ENSG00000165188",33.8328376473412,1.16751441962799,0.132089921960239,8.83878499057207,9.67651348624541e-19,2.39220242099093e-16,"RNF183"
"ENSG00000142657",741.608619986354,1.12536206777628,0.127515354853469,8.82530632541827,1.09160602455089e-18,2.66962230348231e-16,"PGD"
"ENSG00000181885",517.681040568191,1.02083317248884,0.117030409039223,8.72280273878822,2.71398842783134e-18,6.56669710665914e-16,"CLDN7"
"ENSG00000070526",1362.02779536403,0.702127906017739,0.0806549523340736,8.7053291298161,3.16654490846739e-18,7.58104183138762e-16,"ST6GALNAC1"
"ENSG00000181171",21.897721486137,1.48889586835914,0.171783959630661,8.66725782523759,4.42651837759965e-18,1.04871597895965e-15,"FER1L6-AS1"
"ENSG00000151704",58.7353098942937,-1.50982214138031,0.174477097235656,-8.65341162422641,4.99823503400123e-18,1.17195729498272e-15,"KCNJ1"
"ENSG00000182771",34.2208963389679,-1.20421322148993,0.13950124745151,-8.6322756497823,6.0143229890277e-18,1.39581389859639e-15,"GRID1"
"ENSG00000141574",93.8428007926151,1.12655734171691,0.130681463850588,8.62063607586254,6.65832070221579e-18,1.51436846051196e-15,"SECTM1"
"ENSG00000184384",764.863703961571,-0.308866860381072,0.0358246327859366,-8.62163367386479,6.60055731075558e-18,1.51436846051196e-15,"MAML2"
"ENSG00000160211",167.216620909942,0.765181408074561,0.0890951185107868,8.5883651188131,8.82155514496126e-18,1.9865094080891e-15,"G6PD"
"ENSG00000197520",42.2873629981843,1.38330343963048,0.161439485049238,8.56855706154279,1.04789763608138e-17,2.33660625833675e-15,"FAM177B"
"ENSG00000167034",309.148804338056,1.54521052779373,0.180602130644707,8.55588205010479,1.16970853360652e-17,2.58289814449969e-15,"NKX3-1"
"ENSG00000137642",2901.84065773294,0.697874915403073,0.0816722734124923,8.54482049101782,1.28736220889595e-17,2.81536212299323e-15,"SORL1"
